language,class_id,lesson_id,current_lesson_compound,message,lesson_url_free,lesson_url_premium,next_lesson_id
en,1,1,en1lesson1,Let’s get started with the first lesson: Noun (what).,https://englishletics.github.io/daily/lessons/class1/lesson01.html,https://englishletics.github.io/premium/lessons/class1/lesson01.html,2
en,1,2,en1lesson2,How did you like the animals lesson? Now we talk about verbs!,https://englishletics.github.io/daily/lessons/class1/lesson02.html,https://englishletics.github.io/premium/lessons/class1/lesson02.html,3
en,1,3,en1lesson3,Did you learn the verbs yesterday? Now we build sentences.,https://englishletics.github.io/daily/lessons/class1/lesson03.html,https://englishletics.github.io/premium/lessons/class1/lesson03.html,4
en,1,4,en1lesson4,How are your sentences going? Let’s practice verbs! They are very important.,https://englishletics.github.io/daily/lessons/class1/lesson04.html,https://englishletics.github.io/premium/lessons/class1/lesson04.html,5
en,1,5,en1lesson5,"The free premium version is over now. If you want to keep the extended functionality up, please upgrade. If not, just do nothing. We are sending you the next lesson with limited functionality right away.",https://englishletics.github.io/daily/lessons/class1/lesson05.html,https://englishletics.github.io/premium/lessons/class1/lesson05.html,6
en,1,6,en1lesson6,Let's learn something very useful: Yes/No questions!,https://englishletics.github.io/daily/lessons/class1/lesson06.html,https://englishletics.github.io/premium/lessons/class1/lesson06.html,7
en,1,7,en1lesson7,"Today, we are focusing on descriptions with adjectives.",https://englishletics.github.io/daily/lessons/class1/lesson07.html,https://englishletics.github.io/premium/lessons/class1/lesson07.html,8
en,1,8,en1lesson8,Practice the most important verb in the English language: To be.,https://englishletics.github.io/daily/lessons/class1/lesson08.html,https://englishletics.github.io/premium/lessons/class1/lesson08.html,9
en,1,9,en1lesson9,"We've recently learned adjectives, and today we are using them for comparison.",https://englishletics.github.io/daily/lessons/class1/lesson09.html,https://englishletics.github.io/premium/lessons/class1/lesson09.html,10
en,1,10,en1lesson10,Did you learn more about adjectives? Today we're learning more: Adjectives + Prepositions.,https://englishletics.github.io/daily/lessons/class1/lesson10.html,https://englishletics.github.io/premium/lessons/class1/lesson10.html,11
en,1,11,en1lesson11,Feeling confident with your knowledge? Let's review your language skills so far.,https://englishletics.github.io/daily/lessons/class1/lesson11.html,https://englishletics.github.io/premium/lessons/class1/lesson11.html,12
en,1,12,en1lesson12,"Location, location, location! Today we are learning how to use 'where.'",https://englishletics.github.io/daily/lessons/class1/lesson12.html,https://englishletics.github.io/premium/lessons/class1/lesson12.html,13
en,1,13,en1lesson13,Who are you? You are a student. Learn how to use 'who' properly.,https://englishletics.github.io/daily/lessons/class1/lesson13.html,https://englishletics.github.io/premium/lessons/class1/lesson13.html,14
en,1,14,en1lesson14,How are your previous WH-questions going? Today we learn another one: When.,https://englishletics.github.io/daily/lessons/class1/lesson14.html,https://englishletics.github.io/premium/lessons/class1/lesson14.html,15
en,1,15,en1lesson15,Learn the most important tense for describing the past: Simple past tense.,https://englishletics.github.io/daily/lessons/class1/lesson15.html,https://englishletics.github.io/premium/lessons/class1/lesson15.html,16
en,1,16,en1lesson16,Are you ready? Today we are doing Present Continuous and Simple Future tense.,https://englishletics.github.io/daily/lessons/class1/lesson16.html,https://englishletics.github.io/premium/lessons/class1/lesson16.html,17
en,1,17,en1lesson17,Practice your WH-questions! Who - Where - When.,https://englishletics.github.io/daily/lessons/class1/lesson17.html,https://englishletics.github.io/premium/lessons/class1/lesson17.html,18
en,1,18,en1lesson18,Did you master the recent lessons? Time for a review!,https://englishletics.github.io/daily/lessons/class1/lesson18.html,https://englishletics.github.io/premium/lessons/class1/lesson18.html,19
en,1,19,en1lesson19,Hopefully you learned the previous WH-questions because today we're learning another: What.,https://englishletics.github.io/daily/lessons/class1/lesson19.html,https://englishletics.github.io/premium/lessons/class1/lesson19.html,20
en,1,20,en1lesson20,"Did you practice 'what' yesterday? Today, we are learning even more about it.",https://englishletics.github.io/daily/lessons/class1/lesson20.html,https://englishletics.github.io/premium/lessons/class1/lesson20.html,21
en,1,21,en1lesson21,"Today, you will learn to ask 'which' and 'whose' questions.",https://englishletics.github.io/daily/lessons/class1/lesson21.html,https://englishletics.github.io/premium/lessons/class1/lesson21.html,22
en,1,22,en1lesson22,"We're taking a break from WH-questions, and turning to another important one: How.",https://englishletics.github.io/daily/lessons/class1/lesson22.html,https://englishletics.github.io/premium/lessons/class1/lesson22.html,23
en,1,23,en1lesson23,Make sure you mastered the previous lesson because we're doing more 'How.',https://englishletics.github.io/daily/lessons/class1/lesson23.html,https://englishletics.github.io/premium/lessons/class1/lesson23.html,24
en,1,24,en1lesson24,"Back to WH-questions, we're doing 'Why' today.",https://englishletics.github.io/daily/lessons/class1/lesson24.html,https://englishletics.github.io/premium/lessons/class1/lesson24.html,25
en,1,25,en1lesson25,"Hopefully you mastered the previous lessons and all the questions, review is next!",https://englishletics.github.io/daily/lessons/class1/lesson25.html,https://englishletics.github.io/premium/lessons/class1/lesson25.html,
