class,lesson,section,word_en,word_vn,word_pt,image_name,image_url
2,05,job,Farmer,Nông dân,fazendeiro,C2L05-Farmer.jpg,class2/images/C2L05-Farmer.jpg
2,05,job,Baker,Thợ làm bánh,padeiro,C2L05-Baker.jpg,class2/images/C2L05-Baker.jpg
2,05,job,Driver,Người lái xe,motorista,C2L05-Driver.jpg,class2/images/C2L05-Driver.jpg
2,05,job,Housewife,Bà nội trợ,dona de casa,C2L05-Housewife.jpg,class2/images/C2L05-Housewife.jpg
2,05,job,Businessman,Doanh nhân,empresário,C2L05-Businessman.jpg,class2/images/C2L05-Businessman.jpg
2,05,job,Cameraman,Người quay phim,cinegrafista,C2L05-Cameraman.jpg,class2/images/C2L05-Cameraman.jpg
2,05,job,Postman,Người đưa thư,carteiro,C2L05-Postman.jpg,class2/images/C2L05-Postman.jpg
2,05,job,Mechanic,Thợ sửa máy móc,mecânico,C2L05-Mechanic.jpg,class2/images/C2L05-Mechanic.jpg
2,05,job,Receptionist,Tiếp tân,recepcionista,C2L05-Receptionist.jpg,class2/images/C2L05-Receptionist.jpg
2,05,job,Dentist,Nha sĩ,dentista,C2L05-Dentist.jpg,class2/images/C2L05-Dentist.jpg
2,05,job,Artist,Nghệ sĩ,artista,C2L05-Artist.jpg,class2/images/C2L05-Artist.jpg
2,05,job,Supervisor,Người giám sát,gerente,C2L05-Supervisor.jpg,class2/images/C2L05-Supervisor.jpg
2,05,job,Professor,Giáo sư,professor,C2L05-Professor.jpg,class2/images/C2L05-Professor.jpg
2,05,father,Confident,Tự tin,seguro,C2L05-Confident.jpg,class2/images/C2L05-Confident.jpg
2,05,father,Shy,Nhút nhát,tímido,C2L05-Shy.jpg,class2/images/C2L05-Shy.jpg
2,05,father,Strict,Nghiêm khắc,rigoroso,C2L05-Strict.jpg,class2/images/C2L05-Strict.jpg
2,05,father,Easy-going,Dễ tính,descontraído,C2L05-Easy-going.jpg,class2/images/C2L05-Easy-going.jpg
2,05,father,Talkative,Nói nhiều,falante,C2L05-Talkative.jpg,class2/images/C2L05-Talkative.jpg
2,05,father,Quiet,Trầm tính,quieto,C2L05-Quiet.jpg,class2/images/C2L05-Quiet.jpg
2,05,father,Interesting,Thú vị,interessante,C2L05-Interesting.jpg,class2/images/C2L05-Interesting.jpg
