File,order,audio_en,text_en,text_vn,template,Level,Area,Image URL
0001,1,,Lesson 1,,structure_h1,,,
0001,2,,Area: In the supermarket,,structure_h2,,,
0001,3,,Level: Basic,,structure_h3,,,
0001,4,https://TODOTill,Line,chưa có,word_with_mp3,basic,supermarket,
0001,5,https://TODOTill,That makes 12$ and 50Cts,chưa có,word_with_mp3,basic,supermarket,
0001,6,https://TODOTill,Cash,chưa có,word_with_mp3,basic,supermarket,
0001,7,https://TODOTill,Basket,chưa có,word_with_mp3,basic,supermarket,
0001,8,https://TODOTill,Milk,chưa có,word_with_mp3,basic,supermarket,
0001,9,,Level: Advanced,,structure_h3,,,
0001,10,https://TODOTill,Change,chưa có,word_with_mp3,advanced,supermarket,
0001,11,https://TODOTill,Discount,chưa có,word_with_mp3,advanced,supermarket,
0001,12,https://TODOTill,Register,chưa có,word_with_mp3,advanced,supermarket,
0001,13,https://TODOTill,Cart,chưa có,word_with_mp3,advanced,supermarket,
0001,14,https://TODOTill,Baked,chưa có,word_with_mp3,advanced,supermarket,
0001,15,,Level: Professional,,structure_h3,,,
0001,16,https://TODOTill,Queue,chưa có,word_with_mp3,professional,supermarket,
0001,17,https://TODOTill,Purchase,chưa có,word_with_mp3,professional,supermarket,
0001,18,https://TODOTill,Cashier,chưa có,word_with_mp3,professional,supermarket,
0001,19,https://TODOTill,Dairy product,chưa có,word_with_mp3,professional,supermarket,
0001,20,https://TODOTill,Overcharged,chưa có,word_with_mp3,professional,supermarket,
0002,1,,Lesson 2,,structure_h1,,,
0002,2,,Area: Waiter in a restaurant,,structure_h2,,,
0002,3,,Level: Basic,,structure_h3,,,
0002,4,https://TODOTill,Table,chưa có,word_with_mp3,basic,restaurant,
0002,5,https://TODOTill,Water,chưa có,word_with_mp3,basic,restaurant,
0002,6,https://TODOTill,Order,chưa có,word_with_mp3,basic,restaurant,
0002,7,https://TODOTill,Tip,chưa có,word_with_mp3,basic,restaurant,
0002,8,https://TODOTill,Bill,chưa có,word_with_mp3,basic,restaurant,
0002,9,,Level: Advanced,,structure_h3,,,
0002,10,https://TODOTill,Reservation,chưa có,word_with_mp3,advanced,restaurant,
0002,11,https://TODOTill,Fork,chưa có,word_with_mp3,advanced,restaurant,
0002,12,https://TODOTill,Knife - knives,chưa có,word_with_mp3,advanced,restaurant,
0002,13,https://TODOTill,Menue,chưa có,word_with_mp3,advanced,restaurant,
0002,14,https://TODOTill,Check,chưa có,word_with_mp3,advanced,restaurant,
0002,15,,Level: Professional,,structure_h3,,,
0002,16,https://TODOTill,Napkin,chưa có,word_with_mp3,professional,restaurant,
0002,17,https://TODOTill,Cutlery,chưa có,word_with_mp3,professional,restaurant,
0002,18,https://TODOTill,Chef,chưa có,word_with_mp3,professional,restaurant,
0002,19,https://TODOTill,Entree,chưa có,word_with_mp3,professional,restaurant,
0002,20,https://TODOTill,Appetizer,chưa có,word_with_mp3,professional,restaurant,
0003,1,,Lesson 3,,structure_h1,,,
0003,2,,Area: At the reception,,structure_h2,,,
0003,3,,Level: Basic,,structure_h3,,,
0003,4,https://TODOTill,Booked,chưa có,word_with_mp3,basic,reception,
0003,5,https://TODOTill,Room,chưa có,word_with_mp3,basic,reception,
0003,6,https://TODOTill,Bed,chưa có,word_with_mp3,basic,reception,
0003,7,https://TODOTill,Fan,chưa có,word_with_mp3,basic,reception,
0003,8,https://TODOTill,Shower,chưa có,word_with_mp3,basic,reception,
0003,9,,Level: Advanced,,structure_h3,,,
0003,10,https://TODOTill,Reservation,chưa có,word_with_mp3,advanced,reception,
0003,11,https://TODOTill,Breakfast,chưa có,word_with_mp3,advanced,reception,
0003,12,https://TODOTill,Pillow,chưa có,word_with_mp3,advanced,reception,
0003,13,https://TODOTill,Blanket,chưa có,word_with_mp3,advanced,reception,
0003,14,https://TODOTill,Air condition,chưa có,word_with_mp3,advanced,reception,
0003,15,,Level: Professional,,structure_h3,,,
0003,16,https://TODOTill,Restaurant,chưa có,word_with_mp3,professional,reception,
0003,17,https://TODOTill,Wake up call,chưa có,word_with_mp3,professional,reception,
0003,18,https://TODOTill,Luggage,chưa có,word_with_mp3,professional,reception,
0003,19,https://TODOTill,Storage,chưa có,word_with_mp3,professional,reception,
0003,20,https://TODOTill,Bathtub,chưa có,word_with_mp3,professional,reception,
0004,1,,Lesson 4,,structure_h1,,,
0004,2,,Area: At the bar,,structure_h2,,,
0004,3,,Level: Basic,,structure_h3,,,
0004,4,https://TODOTill,Beer,chưa có,word_with_mp3,basic,bar,
0004,5,https://TODOTill,Wine,chưa có,word_with_mp3,basic,bar,
0004,6,https://TODOTill,Glass,chưa có,word_with_mp3,basic,bar,
0004,7,https://TODOTill,Bottle,chưa có,word_with_mp3,basic,bar,
0004,8,https://TODOTill,Drink,chưa có,word_with_mp3,basic,bar,
0004,9,,Level: Advanced,,structure_h3,,,
0004,10,https://TODOTill,Draft,chưa có,word_with_mp3,advanced,bar,
0004,11,https://TODOTill,Open a tab,chưa có,word_with_mp3,advanced,bar,
0004,12,https://TODOTill,Restroom,chưa có,word_with_mp3,advanced,bar,
0004,13,https://TODOTill,Peanuts,chưa có,word_with_mp3,advanced,bar,
0004,14,https://TODOTill,House special,chưa có,word_with_mp3,advanced,bar,
0004,15,,Level: Professional,,structure_h3,,,
0004,16,https://TODOTill,Champagne / Sparkling wine,chưa có,word_with_mp3,professional,bar,
0004,17,https://TODOTill,Cocktail,chưa có,word_with_mp3,professional,bar,
0004,18,https://TODOTill,Mixology,chưa có,word_with_mp3,professional,bar,
0004,19,https://TODOTill,Imported beer,chưa có,word_with_mp3,professional,bar,
0004,20,https://TODOTill,Happy hour,chưa có,word_with_mp3,professional,bar,
0005,1,,Lesson 5,,structure_h1,,,
0005,2,,Area: At the doctor,,structure_h2,,,
0005,3,,Level: Basic,,structure_h3,,,
0005,4,https://TODOTill,Hurts,chưa có,word_with_mp3,basic,doctor,
0005,5,https://TODOTill,Sick,chưa có,word_with_mp3,basic,doctor,
0005,6,https://TODOTill,Blood,chưa có,word_with_mp3,basic,doctor,
0005,7,https://TODOTill,Hot,chưa có,word_with_mp3,basic,doctor,
0005,8,https://TODOTill,Drug,chưa có,word_with_mp3,basic,doctor,
0005,9,,Level: Advanced,,structure_h3,,,
0005,10,https://TODOTill,Ache - Head ache,chưa có,word_with_mp3,advanced,doctor,
0005,11,https://TODOTill,Sore - Sore throat,chưa có,word_with_mp3,advanced,doctor,
0005,12,https://TODOTill,Medicine,chưa có,word_with_mp3,advanced,doctor,
0005,13,https://TODOTill,Throw up,chưa có,word_with_mp3,advanced,doctor,
0005,14,https://TODOTill,Fever,chưa có,word_with_mp3,advanced,doctor,
0005,15,,Level: Professional,,structure_h3,,,
0005,16,https://TODOTill,Appointment,chưa có,word_with_mp3,professional,doctor,
0005,17,https://TODOTill,Diarrhea,chưa có,word_with_mp3,professional,doctor,
0005,18,https://TODOTill,Nausea,chưa có,word_with_mp3,professional,doctor,
0005,19,https://TODOTill,Vomit,chưa có,word_with_mp3,professional,doctor,
0005,20,https://TODOTill,Prescription,chưa có,word_with_mp3,professional,doctor,
0006,1,,Lesson 6,,structure_h1,,,
0006,2,,Area: In the pharmacy,,structure_h2,,,
0006,3,,Level: Basic,,structure_h3,,,
0006,4,https://TODOTill,Pain,chưa có,word_with_mp3,basic,pharmacy,
0006,5,https://TODOTill,Pill,chưa có,word_with_mp3,basic,pharmacy,
0006,6,https://TODOTill,Patch,chưa có,word_with_mp3,basic,pharmacy,
0006,7,https://TODOTill,Cut,chưa có,word_with_mp3,basic,pharmacy,
0006,8,https://TODOTill,Rash,chưa có,word_with_mp3,basic,pharmacy,
0006,9,,Level: Advanced,,structure_h3,,,
0006,10,https://TODOTill,Headache pill,chưa có,word_with_mp3,advanced,pharmacy,
